username	lastname	firstname	party	constituency	followers	friends	tweets
kodonnelllk	O'Donnell	Kieran	Fine Gael	Limerick City	1060	398	1127
lawlessj	Lawless	James	Fianna Fail	Kildare North	5314	5118	20198
leovaradkar	Varadkar	Leo	Fine Gael	Dublin West	238593	1740	6885
lettiemccarthy	McCarthy	Lettie	Labour	Dublin Rathdown	1169	871	3887
liamquaide	Quaide	Liam	Green Party	Cork East	607	583	2794
lichamber	Chambers	Lisa	Fianna Fail	Mayo	7468	1061	3314
lindahsocdems	Hayden	Linda	Social Democrats	Kildare South	1114	1217	1057
loreillysf	O'Reilly	Louise	Sinn Fein	Dublin Fingal	6401	473	16660
lornabogue	Bogue	Lorna	Green Party	Cork South Central	3083	2705	3954
lorrcliff	Clifford-Lee	Lorraine	Fianna Fail	Dublin Fingal	5114	3711	1737
louheavin	Heavin	Louise	Green Party	Longford Westmeath	489	207	446
mairedev	Devine	Maire	Sinn Fein	Dublin South Central	4532	2326	6983
malcolmbyrne	Byrne	Malcolm	Fianna Fail	Wexford	2285	780	1031
malcolmnoonan1	Noonan	Malcolm	Green Party	Carlow Kilkenny	1590	2350	1818
marcellack	Corcoran Kennedy	Marcella	Fine Gael	Laois Offaly	3927	950	11120
marckc_green	O'Cathasaigh	Marc	Green Party	Waterford	1169	672	3722
marcmacsharrytd	MacSharry	Marc	Fianna Fail	Sligo Leitrim	3234	645	1250
markdearey	Dearey	Mark	Green Party	Louth	2330	954	3166
markwall1	Wall	Mark	Labour	Kildare South	1751	2051	1749
martin_kenny	Kenny	Martin	Sinn Fein	Sligo Leitrim	2841	1705	3379
martinheydonfg	Heydon	Martin	Fine Gael	Kildare South	6604	2963	3106
mary4tipperary	Newman Julian	Mary	Fine Gael	Tipperary	1540	1581	2815
marybutlertd	Butler	Mary	Fianna Fail	Waterford	3285	1315	9377
maryloumcdonald	Lou McDonald	Mary	Sinn Fein	Dublin Central	70862	781	14387
mattcarthy	Carthy	Matt	Sinn Fein	Cavan Monaghan	19373	1450	12294
mayor_co_cork	O'Sullivan	Christopher	Fianna Fail	Cork South West	3425	1560	4178
mayormontague	Montague	Andrew	Labour	Dublin North West	2383	302	4237
mcconalogue	McConalogue	Charlie	Fianna Fail	Donegal	5680	1268	1312
mchughjoetd	McHugh	Joe	Fine Gael	Donegal	13056	2373	13363
michaeldarcy	D'Arcy	Michael	Fine Gael	Wexford	3117	398	8619
michaelringfg	Ring	Michael	Fine Gael	Mayo	3284	1433	873
michealmartintd	Martin	Micheal	Fianna Fail	Cork South Central	43091	1880	1845
mikeykennelly1	Kennelly	Mike	Fianna Fail	Kerry	334	209	188
mitchelloconnor	Mitchell O'Connor	Mary	Fine Gael	Dun Laoghaire	13827	6274	16623
mmcgrathtd	McGrath	Michael	Fianna Fail	Cork South Central	5766	585	3637
mmoynihantd	Moynihan	Michael	Fianna Fail	Cork North West	1652	428	1564
mulherinfg	Mulherin	Michelle	Fine Gael	Mayo	2799	1109	1839
mulliganeddie	Mulligan	Eddie	Fianna Fail	Waterford	3524	2793	15614
murphyeoghan	Murphy	Eoghan	Fine Gael	Dublin Bay South	26872	887	5559
murphyomahonytd	Murphy O'Mahony	Margaret	Fianna Fail	Cork South West	3785	2354	3886
mwhitedonegal	White	Michael	Green Party	Donegal	160	280	105
nealerichmond	Richmond	Neale	Fine Gael	Dublin Rathdown	13015	451	41856
neasa_neasa	Hourigan	Neasa	Green Party	Dublin Central	3598	1732	5306
niall_mcnelis	McNelis	Níall	Labour	Galway West	2209	1442	1788
niallcollinstd	Collins	Niall	Fianna Fail	Limerick County	7856	610	4789
niallotuathail	Ó Tuathail	Niall	Social Democrats	Galway West	4452	4478	10605
niamhsmythtd	Smyth	Niamh	Fianna Fail	Cavan Monaghan	3123	3501	
noelrock	Rock	Noel	Fine Gael	Dublin North West	9449	3049	40186
noonan_malcolm	Noonan	Malcolm	Green Party	Carlow Kilkenny	869	1129	1388
normamoriarty	Moriarty	Norma	Fianna Fail	Kerry	968	737	4703
ocallaghancian	O'Callaghan	Cian	Social Democrats	Dublin Bay North	4015	2001	4366
ocallaghanjim	O'Callaghan	Jim	Fianna Fail	Dublin Bay South	4582	1392	2219
odonovandeirdre	O'Donovan	Deirdre	Fianna Fail	Dublin South West	1644	2591	1779
oliver_moran	Moran	Oliver	Green Party	Cork North Central	2268	1674	16180
olliecrowe_ie	Crowe	Ollie	Fianna Fail	Galway West	298	327	179
oneillelle3	O'Neill	Lorraine	Fine Gael	Cork North Central	592	950	358
orlaleyden	Leyden	Orla	Fianna Fail	Roscommon Galway	496	175	227
ormondpeter	Ormond	Peter	Fianna Fail	Laois Offaly	703	814	1163
orourke_darren	O'Rourke	Darren	Sinn Fein	Meath East	1999	1216	2583
pacorkeast	O'Driscoll	Pa	Fine Gael	Cork East	466	379	736
padraigmacl	Mac Lochlainn	Padraig	Sinn Fein	Donegal	8635	1409	
padraigosull	O'Sullivan	Padraig	Fianna Fail	Cork North Central	2499	2606	13460
paschald	Donohoe	Paschal	Fine Gael	Dublin Central	33728	2465	12527
patbreen1	Breen	Pat	Fine Gael	Clare	7632	1561	6629
patbuckleysfme	Buckley	Pat	Sinn Fein	Cork East	1111	758	1692
patcaseytd	Casey	Pat	Fianna Fail	Wicklow	1184	443	701
patdeeringtd	Deering	Pat	Fine Gael	Carlow Kilkenny	2844	3575	5142
patnow	O'Neill	Patrick	Fine Gael	Carlow Kilkenny	689	1358	1353
patriciamodwyer	O'Dwyer	Patricia	Social Democrats	Cork South Central	715	688	1098
pauldonnellysf	Donnelly	Paul	Sinn Fein	Dublin West	3871	1961	12695
paulhayessfwc	Hayes	Paul	Sinn Fein	Cork South West	830	1107	4778
